ROLE,AGE_TYPE,GENDER_TYPE,RACE_TYPE,JOB_CATEGORY_TYPE,LIFE_STAGE_TYPE,CAREER_STAGE_TYPE,SPECIAL_NEEDS_TYPE,EDUCATIONAL_LEVEL_TYPE,LANGUAGE_ABILITIES_TYPE,LITERACY_NUMERACY_PROFICIENCY_TYPE,LEARNING_PREFERENCES_TYPE,PRIOR_KNOWLEDGE_SKILLS_TYPE,RELATIONSHIP_TO_PEERS_TYPE,TENDENCY_TO_COMPETE_OR_COOPERATE_TYPE,SOCIAL_BACKGROUND_TYPE,COMPUTER_LITERACY_TYPE,ATTITUDE_TOWARDS_LEARNING_TYPE,MOTIVATIONAL_LEVEL_TYPE,BARRIERS_TO_LEARNING_INTERESTS,PERSONALITY_TYPE,REASONS_FOR_ATTENDING_COURSE_TYPE,COURSE_COMPLETION,TIME_TAKEN_TO_COMPLETE,ATTEMPTS_TAKEN,COURSE_FEEDBACK
learner,Generation Z (18-24),Female,African American,Mid-level,Mid-career,starter,Other,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Advanced,Neutral,Low,Time,Ambivert,Skill development,87.11,0,0,negative
learner,Generation X (40-55),Other,Hispanic/Latino,Mid-level,Early career,starter,None,Bachelor's degree,Proficient,Advanced,Kinesthetic,None,Supportive,Cooperative,Urban,Basic,Positive,Medium,Time,Ambivert,Skill development,12.27,0,0,positive
learner,Generation X (40-55),Male,Caucasian,Mid-level,Mid-career,Expert,Mental,Some college,Fluent,Advanced,Auditory,None,Collaborative,Both,Suburban,Intermediate,Neutral,High,Time,Extroverted,Career advancement,100.0,4,2,positive
admin,Generation X (40-55),Male,African American,Executive,Early career,Builder,Other,Some college,Proficient,Advanced,Visual,Advanced,Independent,Competitive,Rural,Advanced,Positive,High,Interest,Ambivert,Career advancement,32.11,0,0,positive
learner,Millennials (25-40),Female,Asian,Entry-level,Mid-career,Accelerator,None,Some college,Fluent,Intermediate,Visual,Advanced,Competitive,Competitive,Urban,Advanced,Positive,Medium,Resources,Introverted,Requirement,58.12,0,0,negative
learner,Generation Z (18-24),Male,Caucasian,Entry-level,Mid-career,Builder,None,Bachelor's degree,Basic,None,Kinesthetic,None,Competitive,Both,Urban,Advanced,Positive,High,Interest,Extroverted,Career advancement,100.0,4,4,positive
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Accelerator,None,Master's degree,Basic,Intermediate,Auditory,None,Collaborative,Both,Suburban,Basic,Neutral,High,Time,Extroverted,Personal interest,91.24,0,0,negative
learner,Generation X (40-55),Female,Hispanic/Latino,Executive,Late career,starter,None,Some college,Basic,Intermediate,Auditory,Intermediate,Supportive,Competitive,Suburban,Basic,Positive,High,Resources,Extroverted,Skill development,49.1,0,0,negative
learner,Generation X (40-55),Female,Caucasian,Entry-level,Mid-career,Accelerator,Physical,Some college,Proficient,Basic,Visual,None,Collaborative,Both,Urban,Advanced,Positive,High,Accessibility,Ambivert,Skill development,71.15,0,0,negative
learner,Generation X (40-55),Male,African American,Entry-level,Late career,Builder,Physical,Some college,Fluent,Intermediate,Kinesthetic,Advanced,Collaborative,Both,Rural,Intermediate,Negative,High,Time,Extroverted,Career advancement,34.17,0,0,positive
learner,Generation Z (18-24),Female,Other,Entry-level,Late career,starter,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Basic,Collaborative,Competitive,Suburban,Advanced,Positive,High,Resources,Ambivert,Personal interest,100.0,4,4,positive
learner,Baby Boomers (55-75),Female,Caucasian,Entry-level,Late career,starter,None,Bachelor's degree,Proficient,Intermediate,Auditory,Basic,Competitive,Both,Urban,Advanced,Negative,Low,Accessibility,Extroverted,Career advancement,55.83,0,0,positive
admin,Generation X (40-55),Female,Caucasian,Senior-level,Mid-career,starter,None,Master's degree,Proficient,Intermediate,Kinesthetic,Intermediate,Supportive,Competitive,Urban,Advanced,Positive,Medium,Resources,Introverted,Skill development,67.16,0,0,negative
learner,Baby Boomers (55-75),Female,Caucasian,Senior-level,Mid-career,Expert,None,Bachelor's degree,Fluent,Advanced,Visual,Intermediate,Independent,Both,Urban,Advanced,Positive,High,Time,Extroverted,Career advancement,46.44,0,0,positive
learner,Millennials (25-40),Other,African American,Entry-level,Late career,starter,None,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Collaborative,Cooperative,Urban,Advanced,Positive,Medium,Accessibility,Introverted,Skill development,100.0,5,5,negative
learner,Generation X (40-55),Male,Asian,Mid-level,Late career,starter,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Collaborative,Cooperative,Urban,Advanced,Neutral,Medium,Interest,Extroverted,Skill development,100.0,7,9,negative
learner,Generation X (40-55),Male,Asian,Mid-level,Early career,Accelerator,None,Master's degree,Fluent,Basic,Reading/Writing,Intermediate,Collaborative,Both,Rural,Intermediate,Negative,Medium,Accessibility,Ambivert,Personal interest,11.82,0,0,negative
learner,Generation X (40-55),Male,Asian,Entry-level,Mid-career,Accelerator,None,Bachelor's degree,Basic,Basic,Visual,Advanced,Competitive,Cooperative,Urban,Advanced,Negative,High,Interest,Extroverted,Skill development,100.0,7,9,negative
learner,Generation X (40-55),Male,Asian,Executive,Mid-career,starter,None,Bachelor's degree,Fluent,None,Auditory,Advanced,Supportive,Neither,Suburban,Intermediate,Neutral,High,Resources,Introverted,Skill development,77.32,0,0,positive
learner,Millennials (25-40),Other,African American,Entry-level,Mid-career,Builder,None,High school or below,Fluent,Basic,Kinesthetic,Advanced,Competitive,Cooperative,Urban,Advanced,Positive,High,Time,Extroverted,Skill development,8.82,0,0,positive
learner,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,Builder,None,Some college,Fluent,Intermediate,Kinesthetic,Intermediate,Collaborative,Cooperative,Urban,Basic,Positive,Medium,Time,Ambivert,Career advancement,56.5,0,0,positive
admin,Generation X (40-55),Male,Caucasian,Senior-level,Early career,Expert,None,Bachelor's degree,Proficient,Intermediate,Visual,None,Collaborative,Competitive,Urban,None,Positive,Medium,Accessibility,Extroverted,Career advancement,47.33,0,0,negative
learner,Generation X (40-55),Female,Other,Entry-level,Mid-career,starter,Other,Doctoral degree,Basic,Basic,Visual,Intermediate,Supportive,Competitive,Urban,Intermediate,Positive,High,Interest,Extroverted,Skill development,100.0,5,2,positive
learner,Generation X (40-55),Male,Caucasian,Entry-level,Mid-career,starter,Physical,Doctoral degree,Proficient,None,Reading/Writing,Advanced,Competitive,Both,Suburban,Intermediate,Positive,High,Accessibility,Extroverted,Skill development,40.63,0,0,negative
admin,Generation Z (18-24),Male,Caucasian,Entry-level,Early career,Accelerator,None,Master's degree,Proficient,Advanced,Auditory,Intermediate,Supportive,Both,Rural,Advanced,Neutral,Medium,Interest,Introverted,Skill development,37.31,0,0,negative
learner,Generation X (40-55),Male,African American,Entry-level,Early career,starter,None,High school or below,Fluent,Advanced,Kinesthetic,Intermediate,Independent,Competitive,Urban,Advanced,Neutral,Medium,Interest,Introverted,Career advancement,100.0,2,1,negative
learner,Millennials (25-40),Female,Asian,Senior-level,Late career,Accelerator,None,Some college,Basic,Intermediate,Visual,Intermediate,Competitive,Both,Rural,Basic,Positive,Medium,Resources,Introverted,Skill development,100.0,6,1,positive
learner,Millennials (25-40),Female,Asian,Mid-level,Late career,starter,None,Bachelor's degree,Proficient,Intermediate,Visual,Basic,Competitive,Neither,Rural,Advanced,Positive,Medium,Interest,Extroverted,Personal interest,100.0,2,9,negative
learner,Generation X (40-55),Female,Asian,Mid-level,Mid-career,Builder,Mental,Bachelor's degree,Proficient,Intermediate,Reading/Writing,Intermediate,Collaborative,Both,Rural,Advanced,Neutral,High,Accessibility,Extroverted,Skill development,100.0,1,7,negative
admin,Millennials (25-40),Female,Caucasian,Entry-level,Early career,starter,None,Some college,Fluent,Basic,Auditory,Advanced,Supportive,Competitive,Urban,Intermediate,Neutral,High,Accessibility,Extroverted,Career advancement,96.82,0,0,positive
learner,Baby Boomers (55-75),Female,Caucasian,Entry-level,Mid-career,Accelerator,Physical,Bachelor's degree,Basic,Intermediate,Kinesthetic,Intermediate,Independent,Both,Urban,Basic,Neutral,High,Time,Extroverted,Career advancement,49.51,0,0,positive
learner,Millennials (25-40),Other,African American,Senior-level,Mid-career,starter,None,Some college,Fluent,Intermediate,Kinesthetic,Intermediate,Competitive,Both,Suburban,Intermediate,Neutral,Medium,Accessibility,Extroverted,Career advancement,36.69,0,0,negative
learner,Millennials (25-40),Female,Caucasian,Entry-level,Early career,Accelerator,None,Doctoral degree,Proficient,Advanced,Visual,Intermediate,Collaborative,Cooperative,Urban,Intermediate,Neutral,High,Interest,Ambivert,Skill development,100.0,6,1,positive
learner,Generation X (40-55),Female,Caucasian,Mid-level,Early career,starter,None,Some college,Proficient,Advanced,Kinesthetic,Advanced,Supportive,Cooperative,Suburban,Advanced,Neutral,Medium,Accessibility,Extroverted,Personal interest,86.36,0,0,negative
learner,Generation X (40-55),Male,Hispanic/Latino,Mid-level,Mid-career,starter,None,Bachelor's degree,Fluent,Intermediate,Visual,Intermediate,Supportive,Both,Urban,None,Positive,Low,Accessibility,Ambivert,Personal interest,96.59,0,0,positive
admin,Millennials (25-40),Female,African American,Mid-level,Early career,starter,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Intermediate,Independent,Competitive,Urban,Advanced,Neutral,High,Interest,Extroverted,Skill development,77.18,0,0,negative
admin,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Accelerator,None,Bachelor's degree,Basic,Basic,Reading/Writing,Intermediate,Collaborative,Both,Urban,Advanced,Positive,Low,Interest,Ambivert,Personal interest,63.14,0,0,negative
learner,Millennials (25-40),Male,Hispanic/Latino,Entry-level,Early career,starter,None,Bachelor's degree,Fluent,Basic,Auditory,Intermediate,Competitive,Competitive,Urban,Advanced,Neutral,High,Accessibility,Introverted,Personal interest,22.39,0,0,negative
learner,Millennials (25-40),Other,Asian,Entry-level,Late career,Accelerator,None,Some college,Fluent,Intermediate,Kinesthetic,Basic,Independent,Cooperative,Urban,Advanced,Positive,High,Resources,Introverted,Personal interest,46.01,0,0,positive
learner,Millennials (25-40),Female,Hispanic/Latino,Senior-level,Early career,Builder,Mental,Bachelor's degree,Fluent,Advanced,Visual,Intermediate,Supportive,Cooperative,Urban,Advanced,Positive,Medium,Interest,Ambivert,Skill development,100.0,3,5,negative
admin,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,starter,None,Bachelor's degree,Proficient,Basic,Visual,Advanced,Collaborative,Competitive,Urban,Advanced,Positive,Medium,Interest,Ambivert,Career advancement,100.0,7,3,negative
learner,Millennials (25-40),Female,Asian,Entry-level,Early career,Builder,None,Bachelor's degree,Proficient,Basic,Kinesthetic,Intermediate,Competitive,Both,Suburban,Intermediate,Positive,Medium,Accessibility,Extroverted,Career advancement,100.0,6,10,negative
learner,Generation Z (18-24),Male,Caucasian,Mid-level,Late career,Builder,None,Master's degree,Proficient,Advanced,Visual,Intermediate,Collaborative,Neither,Urban,Advanced,Neutral,Medium,Accessibility,Ambivert,Requirement,80.93,0,0,positive
admin,Baby Boomers (55-75),Male,Asian,Entry-level,Late career,starter,None,Some college,Proficient,Basic,Auditory,Intermediate,Supportive,Neither,Urban,Intermediate,Positive,High,Time,Introverted,Career advancement,20.87,0,0,negative
learner,Millennials (25-40),Male,Asian,Mid-level,Late career,Builder,None,Doctoral degree,Proficient,Intermediate,Auditory,None,Supportive,Both,Rural,Intermediate,Neutral,High,Interest,Extroverted,Career advancement,100.0,7,6,negative
learner,Generation X (40-55),Male,Asian,Mid-level,Mid-career,starter,Mental,Some college,Basic,Intermediate,Visual,Intermediate,Collaborative,Both,Urban,Intermediate,Positive,Low,Time,Extroverted,Skill development,81.87,0,0,positive
learner,Millennials (25-40),Male,African American,Entry-level,Early career,starter,Physical,Some college,Proficient,Advanced,Reading/Writing,Intermediate,Collaborative,Cooperative,Suburban,Basic,Neutral,Medium,Time,Extroverted,Personal interest,100.0,3,4,positive
learner,Generation Z (18-24),Female,African American,Entry-level,Mid-career,Accelerator,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Independent,Both,Suburban,Advanced,Positive,High,Time,Extroverted,Requirement,26.69,0,0,positive
learner,Generation X (40-55),Male,Asian,Entry-level,Early career,Accelerator,Mental,Some college,Basic,Basic,Visual,Intermediate,Independent,Both,Suburban,Intermediate,Neutral,Medium,Resources,Introverted,Career advancement,46.07,0,0,positive
learner,Generation Z (18-24),Female,Caucasian,Mid-level,Late career,starter,Physical,Master's degree,Fluent,Intermediate,Reading/Writing,Intermediate,Supportive,Neither,Suburban,Basic,Negative,High,Interest,Extroverted,Career advancement,100.0,1,3,positive
learner,Baby Boomers (55-75),Female,Other,Entry-level,Mid-career,Expert,None,Bachelor's degree,Proficient,Advanced,Reading/Writing,Intermediate,Collaborative,Competitive,Urban,Intermediate,Positive,High,Resources,Ambivert,Career advancement,100.0,7,6,negative
learner,Generation Z (18-24),Female,African American,Entry-level,Early career,starter,None,Bachelor's degree,Fluent,Intermediate,Visual,Intermediate,Independent,Both,Urban,Advanced,Positive,High,Time,Extroverted,Requirement,47.93,0,0,negative
learner,Baby Boomers (55-75),Female,Caucasian,Entry-level,Early career,Builder,None,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Supportive,Neither,Urban,Intermediate,Positive,High,Interest,Introverted,Skill development,28.59,0,0,negative
learner,Baby Boomers (55-75),Female,Asian,Entry-level,Mid-career,starter,None,Master's degree,Basic,Intermediate,Reading/Writing,Intermediate,Collaborative,Competitive,Suburban,Advanced,Positive,High,Accessibility,Introverted,Skill development,50.82,0,0,negative
learner,Millennials (25-40),Female,Caucasian,Mid-level,Early career,starter,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Intermediate,Competitive,Neither,Suburban,Advanced,Positive,Medium,Interest,Introverted,Skill development,32.09,0,0,negative
admin,Millennials (25-40),Other,Caucasian,Mid-level,Mid-career,starter,None,Some college,Proficient,Intermediate,Auditory,Basic,Collaborative,Neither,Suburban,None,Positive,Medium,Resources,Introverted,Skill development,100.0,7,10,positive
learner,Millennials (25-40),Other,Caucasian,Entry-level,Early career,starter,None,Bachelor's degree,Proficient,Advanced,Reading/Writing,Advanced,Collaborative,Both,Urban,Intermediate,Neutral,Medium,Time,Extroverted,Skill development,74.6,0,0,negative
learner,Generation X (40-55),Other,Asian,Entry-level,Mid-career,Builder,None,Some college,Proficient,Intermediate,Reading/Writing,Intermediate,Independent,Neither,Suburban,Advanced,Positive,High,Accessibility,Extroverted,Requirement,100.0,3,1,positive
admin,Baby Boomers (55-75),Male,African American,Senior-level,Early career,Builder,None,Master's degree,Fluent,Advanced,Kinesthetic,Intermediate,Collaborative,Both,Urban,Advanced,Positive,Medium,Accessibility,Extroverted,Requirement,60.08,0,0,positive
admin,Generation X (40-55),Female,Caucasian,Entry-level,Mid-career,Builder,Mental,Bachelor's degree,Proficient,Advanced,Visual,Intermediate,Independent,Both,Rural,Advanced,Positive,High,Time,Extroverted,Skill development,12.26,0,0,negative
admin,Generation X (40-55),Other,Caucasian,Entry-level,Early career,starter,Physical,High school or below,Fluent,Advanced,Reading/Writing,Basic,Independent,Neither,Suburban,Intermediate,Positive,Low,Accessibility,Introverted,Requirement,19.77,0,0,negative
learner,Millennials (25-40),Male,Asian,Entry-level,Mid-career,Accelerator,Other,Some college,Fluent,Basic,Visual,Intermediate,Collaborative,Competitive,Rural,Intermediate,Neutral,Medium,Resources,Extroverted,Career advancement,86.81,0,0,positive
admin,Generation Z (18-24),Other,Caucasian,Executive,Early career,Builder,None,Bachelor's degree,Proficient,Intermediate,Visual,Intermediate,Independent,Competitive,Suburban,Advanced,Positive,High,Accessibility,Extroverted,Career advancement,97.65,0,0,negative
learner,Generation X (40-55),Female,African American,Mid-level,Early career,starter,Other,Bachelor's degree,Basic,None,Auditory,Basic,Supportive,Cooperative,Suburban,Intermediate,Neutral,Medium,Accessibility,Extroverted,Career advancement,48.02,0,0,positive
learner,Generation X (40-55),Female,Caucasian,Entry-level,Mid-career,Builder,Other,Bachelor's degree,Proficient,Advanced,Auditory,Intermediate,Supportive,Competitive,Suburban,Intermediate,Neutral,High,Accessibility,Extroverted,Career advancement,53.29,0,0,negative
learner,Generation X (40-55),Male,Other,Mid-level,Mid-career,starter,None,Some college,None,Intermediate,Auditory,Intermediate,Supportive,Competitive,Suburban,Advanced,Negative,Low,Interest,Introverted,Personal interest,100.0,6,5,negative
learner,Millennials (25-40),Female,African American,Entry-level,Late career,Builder,Other,Some college,None,Intermediate,Kinesthetic,Intermediate,Independent,Both,Suburban,Advanced,Positive,Medium,Time,Extroverted,Career advancement,35.94,0,0,negative
learner,Millennials (25-40),Other,Caucasian,Entry-level,Mid-career,Builder,None,High school or below,Proficient,Basic,Reading/Writing,None,Independent,Competitive,Urban,Advanced,Positive,High,Interest,Ambivert,Skill development,18.76,0,0,negative
learner,Millennials (25-40),Female,Hispanic/Latino,Entry-level,Early career,starter,None,Master's degree,Proficient,Basic,Auditory,Intermediate,Competitive,Competitive,Suburban,Basic,Negative,High,Time,Introverted,Skill development,100.0,4,5,negative
learner,Millennials (25-40),Female,Asian,Entry-level,Late career,starter,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Intermediate,Collaborative,Competitive,Urban,Basic,Positive,High,Time,Extroverted,Career advancement,3.03,0,0,negative
learner,Millennials (25-40),Male,Hispanic/Latino,Entry-level,Mid-career,Expert,None,Bachelor's degree,Fluent,Intermediate,Visual,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Medium,Accessibility,Ambivert,Skill development,23.25,0,0,positive
admin,Millennials (25-40),Female,Asian,Mid-level,Early career,Expert,Physical,Bachelor's degree,Fluent,Advanced,Visual,Intermediate,Competitive,Cooperative,Suburban,Intermediate,Neutral,Medium,Accessibility,Extroverted,Personal interest,43.27,0,0,positive
admin,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Builder,None,Master's degree,Fluent,Advanced,Visual,Basic,Supportive,Competitive,Suburban,Intermediate,Negative,Medium,Interest,Extroverted,Skill development,30.83,0,0,negative
learner,Millennials (25-40),Male,Caucasian,Senior-level,Early career,Expert,None,Bachelor's degree,Basic,Intermediate,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,High,Interest,Introverted,Skill development,42.79,0,0,negative
learner,Generation X (40-55),Female,Hispanic/Latino,Entry-level,Mid-career,Builder,None,Some college,Fluent,None,Auditory,None,Collaborative,Cooperative,Suburban,None,Neutral,High,Time,Introverted,Career advancement,43.85,0,0,negative
admin,Millennials (25-40),Male,African American,Executive,Late career,starter,Other,Some college,None,Advanced,Visual,Basic,Collaborative,Both,Suburban,Intermediate,Neutral,High,Time,Ambivert,Career advancement,25.26,0,0,negative
learner,Generation X (40-55),Female,Asian,Entry-level,Early career,Builder,Mental,Master's degree,Fluent,Advanced,Visual,Advanced,Independent,Neither,Suburban,Basic,Positive,High,Interest,Introverted,Skill development,100.0,1,10,positive
learner,Millennials (25-40),Other,Caucasian,Entry-level,Retirement,Builder,None,Bachelor's degree,Fluent,Intermediate,Auditory,Basic,Independent,Both,Suburban,Advanced,Positive,Low,Time,Introverted,Career advancement,29.19,0,0,negative
admin,Generation X (40-55),Male,African American,Mid-level,Mid-career,starter,None,Bachelor's degree,None,Intermediate,Visual,Intermediate,Competitive,Neither,Urban,Advanced,Negative,Medium,Accessibility,Ambivert,Career advancement,11.12,0,0,positive
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Builder,None,High school or below,Fluent,Intermediate,Visual,None,Competitive,Cooperative,Urban,Basic,Neutral,High,Resources,Introverted,Personal interest,93.78,0,0,positive
learner,Millennials (25-40),Female,African American,Mid-level,Early career,Builder,Mental,Bachelor's degree,Fluent,Basic,Visual,Basic,Competitive,Competitive,Urban,Basic,Positive,High,Interest,Extroverted,Skill development,100.0,3,5,negative
admin,Generation X (40-55),Female,Asian,Entry-level,Early career,Builder,None,High school or below,Basic,Basic,Auditory,Intermediate,Collaborative,Cooperative,Suburban,Intermediate,Positive,High,Resources,Extroverted,Skill development,33.96,0,0,negative
learner,Generation X (40-55),Male,Asian,Entry-level,Retirement,starter,Mental,Bachelor's degree,Fluent,Advanced,Auditory,Intermediate,Collaborative,Both,Urban,Advanced,Negative,Medium,Resources,Introverted,Skill development,6.3,0,0,negative
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Builder,None,Bachelor's degree,Fluent,Advanced,Kinesthetic,Advanced,Collaborative,Both,Suburban,Advanced,Positive,Medium,Time,Extroverted,Skill development,59.09,0,0,negative
admin,Generation X (40-55),Male,Other,Entry-level,Late career,starter,None,High school or below,Fluent,Intermediate,Visual,Advanced,Competitive,Cooperative,Suburban,Advanced,Positive,High,Resources,Introverted,Requirement,16.24,0,0,negative
learner,Generation X (40-55),Female,African American,Entry-level,Late career,Builder,None,Bachelor's degree,Fluent,Basic,Reading/Writing,Intermediate,Independent,Neither,Urban,Intermediate,Positive,Medium,Accessibility,Introverted,Personal interest,6.62,0,0,positive
learner,Millennials (25-40),Female,Asian,Senior-level,Early career,starter,Physical,Bachelor's degree,Proficient,Intermediate,Reading/Writing,Basic,Supportive,Competitive,Suburban,Intermediate,Neutral,High,Interest,Extroverted,Personal interest,100.0,6,4,positive
learner,Generation X (40-55),Male,Other,Senior-level,Early career,starter,None,High school or below,Fluent,Intermediate,Visual,Intermediate,Competitive,Both,Urban,Basic,Positive,High,Interest,Introverted,Career advancement,42.71,0,0,positive
learner,Generation X (40-55),Male,Asian,Mid-level,Early career,starter,None,Bachelor's degree,Fluent,Advanced,Auditory,Intermediate,Independent,Competitive,Rural,Advanced,Neutral,Medium,Resources,Ambivert,Career advancement,61.47,0,0,negative
learner,Generation X (40-55),Male,Caucasian,Executive,Late career,Expert,None,Bachelor's degree,Proficient,None,Reading/Writing,Intermediate,Supportive,Both,Urban,Advanced,Positive,High,Accessibility,Extroverted,Personal interest,33.28,0,0,negative
learner,Millennials (25-40),Male,Caucasian,Entry-level,Early career,starter,None,Bachelor's degree,Fluent,Basic,Kinesthetic,Basic,Independent,Competitive,Suburban,Intermediate,Positive,Low,Resources,Introverted,Skill development,88.86,0,0,negative
learner,Millennials (25-40),Other,Other,Mid-level,Early career,starter,None,Bachelor's degree,Proficient,Basic,Kinesthetic,Advanced,Collaborative,Both,Rural,Intermediate,Positive,High,Resources,Extroverted,Personal interest,2.69,0,0,positive
learner,Generation X (40-55),Male,Caucasian,Senior-level,Early career,starter,None,Some college,Fluent,Basic,Visual,Intermediate,Supportive,Both,Suburban,Intermediate,Positive,Medium,Resources,Extroverted,Career advancement,36.35,0,0,positive
learner,Generation Z (18-24),Male,Caucasian,Senior-level,Mid-career,Expert,None,High school or below,Fluent,Basic,Auditory,None,Collaborative,Both,Urban,Advanced,Neutral,Low,Resources,Extroverted,Personal interest,100.0,4,1,positive
learner,Generation X (40-55),Male,Hispanic/Latino,Senior-level,Mid-career,starter,None,Bachelor's degree,Fluent,Advanced,Kinesthetic,Intermediate,Competitive,Cooperative,Urban,Intermediate,Neutral,Medium,Time,Introverted,Skill development,90.72,0,0,positive
learner,Generation X (40-55),Male,African American,Mid-level,Early career,Accelerator,Mental,Some college,Fluent,Basic,Reading/Writing,Basic,Collaborative,Cooperative,Urban,None,Neutral,Low,Time,Extroverted,Skill development,100.0,5,6,positive
admin,Generation Z (18-24),Female,Hispanic/Latino,Entry-level,Mid-career,starter,Physical,Some college,Proficient,Intermediate,Kinesthetic,Advanced,Competitive,Both,Urban,Advanced,Neutral,Medium,Accessibility,Ambivert,Career advancement,82.99,0,0,positive
learner,Millennials (25-40),Other,Asian,Mid-level,Late career,starter,Other,Master's degree,Fluent,Intermediate,Visual,Basic,Supportive,Both,Suburban,Advanced,Neutral,High,Resources,Introverted,Career advancement,27.48,0,0,positive
learner,Millennials (25-40),Male,Caucasian,Entry-level,Late career,Expert,None,Bachelor's degree,Fluent,Basic,Kinesthetic,None,Competitive,Both,Suburban,Intermediate,Negative,Medium,Accessibility,Extroverted,Career advancement,29.63,0,0,positive
learner,Generation X (40-55),Female,Hispanic/Latino,Mid-level,Early career,Builder,None,Bachelor's degree,Fluent,Basic,Reading/Writing,Intermediate,Collaborative,Competitive,Urban,Basic,Positive,Medium,Time,Ambivert,Career advancement,12.8,0,0,negative
