ROLE,AGE_TYPE,GENDER_TYPE,RACE_TYPE,JOB_CATEGORY_TYPE,LIFE_STAGE_TYPE,CAREER_STAGE_TYPE,SPECIAL_NEEDS_TYPE,EDUCATIONAL_LEVEL_TYPE,LANGUAGE_ABILITIES_TYPE,LITERACY_NUMERACY_PROFICIENCY_TYPE,LEARNING_PREFERENCES_TYPE,PRIOR_KNOWLEDGE_SKILLS_TYPE,RELATIONSHIP_TO_PEERS_TYPE,TENDENCY_TO_COMPETE_OR_COOPERATE_TYPE,SOCIAL_BACKGROUND_TYPE,COMPUTER_LITERACY_TYPE,ATTITUDE_TOWARDS_LEARNING_TYPE,MOTIVATIONAL_LEVEL_TYPE,BARRIERS_TO_LEARNING_INTERESTS,PERSONALITY_TYPE,REASONS_FOR_ATTENDING_COURSE_TYPE
learner,Generation X (40-55),Female,Other,Entry-level,Early career,Accelerator,None,Bachelor's degree,Fluent,Basic,Visual,Intermediate,Independent,Both,Rural,Advanced,Positive,Medium,Accessibility,Extroverted,Career advancement
admin,Baby Boomers (55-75),Female,Caucasian,Mid-level,Mid-career,starter,None,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Independent,Competitive,Suburban,Intermediate,Positive,Low,Accessibility,Extroverted,Skill development
learner,Generation Z (18-24),Female,Hispanic/Latino,Entry-level,Late career,starter,Mental,Doctoral degree,Fluent,Advanced,Auditory,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Medium,Interest,Ambivert,Career advancement
learner,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Builder,Physical,Some college,Basic,Basic,Auditory,Basic,Independent,Competitive,Suburban,Advanced,Positive,High,Time,Introverted,Skill development
learner,Millennials (25-40),Female,Caucasian,Mid-level,Mid-career,starter,None,Some college,Fluent,Basic,Auditory,Basic,Collaborative,Both,Urban,Advanced,Positive,High,Resources,Extroverted,Career advancement
admin,Millennials (25-40),Male,Caucasian,Mid-level,Late career,starter,Physical,Bachelor's degree,Fluent,Basic,Visual,Advanced,Collaborative,Both,Suburban,Intermediate,Positive,High,Accessibility,Introverted,Personal interest
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Accelerator,Physical,Doctoral degree,Basic,Basic,Auditory,Basic,Competitive,Competitive,Urban,Advanced,Positive,High,Accessibility,Ambivert,Personal interest
learner,Millennials (25-40),Female,Caucasian,Mid-level,Retirement,Expert,None,High school or below,Basic,Basic,Kinesthetic,Intermediate,Competitive,Both,Suburban,Advanced,Neutral,Medium,Resources,Ambivert,Skill development
learner,Generation Z (18-24),Female,Other,Mid-level,Mid-career,starter,Mental,Master's degree,Fluent,Intermediate,Reading/Writing,Intermediate,Collaborative,Competitive,Suburban,Basic,Positive,High,Time,Ambivert,Skill development
learner,Millennials (25-40),Female,Asian,Entry-level,Early career,starter,None,Some college,Proficient,Advanced,Auditory,Advanced,Supportive,Competitive,Urban,Advanced,Positive,Low,Resources,Introverted,Skill development
learner,Generation Z (18-24),Male,Asian,Entry-level,Early career,starter,None,Some college,Proficient,Intermediate,Visual,Intermediate,Collaborative,Both,Suburban,Advanced,Positive,High,Time,Introverted,Personal interest
learner,Baby Boomers (55-75),Female,African American,Entry-level,Early career,Accelerator,Mental,Master's degree,Fluent,Advanced,Reading/Writing,Intermediate,Collaborative,Competitive,Rural,Intermediate,Positive,Low,Interest,Extroverted,Requirement
learner,Millennials (25-40),Male,African American,Entry-level,Late career,starter,Physical,Bachelor's degree,Basic,Intermediate,Auditory,Advanced,Competitive,Competitive,Suburban,Basic,Positive,Medium,Interest,Extroverted,Career advancement
learner,Generation X (40-55),Male,Caucasian,Mid-level,Early career,starter,Physical,Master's degree,Fluent,Intermediate,Visual,Intermediate,Collaborative,Competitive,Rural,Basic,Negative,Low,Resources,Extroverted,Career advancement
learner,Generation X (40-55),Male,African American,Senior-level,Early career,starter,Physical,Master's degree,Basic,Advanced,Visual,Intermediate,Collaborative,Both,Suburban,Advanced,Positive,High,Interest,Ambivert,Career advancement
learner,Generation X (40-55),Male,Hispanic/Latino,Mid-level,Early career,starter,Other,Bachelor's degree,Proficient,Intermediate,Auditory,Intermediate,Supportive,Both,Suburban,Intermediate,Positive,High,Interest,Extroverted,Career advancement
learner,Millennials (25-40),Male,Caucasian,Entry-level,Early career,Accelerator,None,Some college,Fluent,Intermediate,Auditory,Intermediate,Supportive,Both,Suburban,Basic,Positive,Medium,Resources,Introverted,Personal interest
learner,Millennials (25-40),Female,Caucasian,Entry-level,Late career,starter,Other,Bachelor's degree,Proficient,Advanced,Kinesthetic,Basic,Competitive,Competitive,Urban,Advanced,Positive,High,Resources,Extroverted,Career advancement
learner,Generation X (40-55),Female,African American,Senior-level,Mid-career,starter,Physical,Some college,Fluent,Advanced,Kinesthetic,Intermediate,Competitive,Competitive,Suburban,Basic,Positive,Medium,Accessibility,Extroverted,Skill development
learner,Generation X (40-55),Female,Asian,Senior-level,Mid-career,starter,None,Some college,Basic,Intermediate,Auditory,Intermediate,Competitive,Both,Suburban,Advanced,Positive,Medium,Accessibility,Introverted,Career advancement
learner,Generation X (40-55),Female,African American,Mid-level,Early career,starter,None,Some college,Proficient,Advanced,Kinesthetic,Basic,Supportive,Both,Urban,Advanced,Positive,Medium,Interest,Extroverted,Skill development
learner,Millennials (25-40),Female,Caucasian,Entry-level,Early career,starter,None,High school or below,Fluent,Intermediate,Reading/Writing,None,Supportive,Competitive,Rural,None,Neutral,Medium,Interest,Extroverted,Personal interest
admin,Baby Boomers (55-75),Female,Caucasian,Mid-level,Early career,starter,None,Bachelor's degree,Basic,Basic,Visual,Basic,Supportive,Competitive,Urban,Basic,Positive,Medium,Time,Extroverted,Career advancement
admin,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,starter,None,Some college,Proficient,Advanced,Reading/Writing,Intermediate,Collaborative,Cooperative,Urban,Intermediate,Negative,Low,Time,Ambivert,Skill development
learner,Generation X (40-55),Male,Caucasian,Mid-level,Mid-career,starter,None,High school or below,Proficient,Advanced,Visual,Advanced,Supportive,Neither,Rural,None,Positive,High,Resources,Ambivert,Career advancement
learner,Millennials (25-40),Female,Other,Entry-level,Early career,Expert,Other,Bachelor's degree,Fluent,Advanced,Visual,Intermediate,Supportive,Both,Suburban,Intermediate,Positive,High,Time,Extroverted,Personal interest
learner,Generation X (40-55),Female,African American,Entry-level,Mid-career,starter,None,High school or below,Fluent,Advanced,Visual,Advanced,Supportive,Cooperative,Rural,Intermediate,Negative,Medium,Resources,Introverted,Personal interest
learner,Generation X (40-55),Female,Asian,Mid-level,Mid-career,Accelerator,Other,Bachelor's degree,Proficient,Advanced,Auditory,Advanced,Supportive,Both,Suburban,Intermediate,Positive,Medium,Interest,Ambivert,Career advancement
learner,Generation Z (18-24),Other,Asian,Executive,Late career,Expert,Physical,Bachelor's degree,Fluent,Intermediate,Auditory,Basic,Competitive,Competitive,Rural,Intermediate,Positive,Low,Time,Extroverted,Career advancement
learner,Millennials (25-40),Male,Other,Entry-level,Mid-career,starter,None,Master's degree,Fluent,Advanced,Kinesthetic,Intermediate,Collaborative,Competitive,Urban,Intermediate,Positive,High,Interest,Extroverted,Requirement
learner,Millennials (25-40),Female,Other,Mid-level,Early career,starter,Mental,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Collaborative,Competitive,Rural,Advanced,Positive,High,Resources,Introverted,Career advancement
admin,Generation X (40-55),Other,Caucasian,Mid-level,Early career,Builder,Other,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Advanced,Collaborative,Cooperative,Urban,Advanced,Positive,High,Interest,Introverted,Personal interest
learner,Generation X (40-55),Female,Asian,Entry-level,Early career,Builder,Physical,Doctoral degree,Fluent,Intermediate,Kinesthetic,Intermediate,Supportive,Competitive,Urban,Advanced,Positive,High,Resources,Ambivert,Career advancement
admin,Millennials (25-40),Female,Hispanic/Latino,Entry-level,Early career,Accelerator,None,High school or below,Basic,None,Reading/Writing,None,Collaborative,Competitive,Urban,Intermediate,Neutral,High,Interest,Ambivert,Personal interest
learner,Millennials (25-40),Female,Other,Entry-level,Retirement,starter,None,Bachelor's degree,Basic,Advanced,Visual,Advanced,Collaborative,Competitive,Rural,Basic,Neutral,Medium,Resources,Extroverted,Skill development
admin,Generation X (40-55),Female,Other,Entry-level,Early career,Expert,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,None,Collaborative,Neither,Urban,Advanced,Neutral,High,Interest,Introverted,Personal interest
learner,Generation Z (18-24),Other,African American,Entry-level,Mid-career,Builder,None,Some college,Fluent,Advanced,Visual,Intermediate,Supportive,Both,Suburban,Intermediate,Positive,Low,Accessibility,Ambivert,Personal interest
learner,Generation X (40-55),Female,Caucasian,Entry-level,Mid-career,Expert,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Basic,Competitive,Both,Suburban,Advanced,Neutral,High,Time,Extroverted,Career advancement
admin,Generation Z (18-24),Other,Caucasian,Entry-level,Retirement,Accelerator,None,Some college,Proficient,Basic,Auditory,Advanced,Collaborative,Both,Suburban,Intermediate,Negative,High,Interest,Ambivert,Career advancement
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,starter,None,Some college,Proficient,Intermediate,Visual,Basic,Independent,Both,Rural,Advanced,Positive,Low,Accessibility,Extroverted,Requirement
learner,Millennials (25-40),Male,African American,Entry-level,Late career,Expert,Other,Master's degree,Basic,Basic,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Advanced,Positive,High,Resources,Extroverted,Skill development
learner,Generation X (40-55),Male,Asian,Mid-level,Mid-career,Accelerator,None,Some college,Proficient,Intermediate,Visual,Intermediate,Competitive,Cooperative,Suburban,Advanced,Positive,Low,Interest,Extroverted,Skill development
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,starter,Other,Doctoral degree,Fluent,Intermediate,Kinesthetic,Intermediate,Collaborative,Both,Urban,Advanced,Negative,Medium,Resources,Ambivert,Personal interest
learner,Generation Z (18-24),Male,African American,Entry-level,Early career,Accelerator,None,Master's degree,Proficient,Advanced,Kinesthetic,Intermediate,Collaborative,Competitive,Urban,Advanced,Positive,Medium,Time,Introverted,Career advancement
learner,Generation X (40-55),Female,Other,Executive,Mid-career,starter,Mental,Bachelor's degree,Proficient,Intermediate,Auditory,Advanced,Independent,Both,Urban,Advanced,Positive,Medium,Interest,Ambivert,Career advancement
learner,Generation X (40-55),Female,Caucasian,Mid-level,Mid-career,Accelerator,Other,Bachelor's degree,Basic,Advanced,Reading/Writing,Advanced,Independent,Both,Suburban,Intermediate,Neutral,High,Interest,Introverted,Skill development
admin,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Builder,Other,Some college,Fluent,Advanced,Visual,Basic,Collaborative,Competitive,Suburban,Advanced,Positive,Medium,Time,Introverted,Requirement
learner,Generation X (40-55),Female,African American,Senior-level,Mid-career,starter,None,Bachelor's degree,Proficient,Advanced,Kinesthetic,Intermediate,Supportive,Both,Suburban,None,Negative,Medium,Resources,Extroverted,Personal interest
admin,Millennials (25-40),Male,Caucasian,Mid-level,Late career,starter,None,Bachelor's degree,Fluent,Advanced,Reading/Writing,Advanced,Independent,Both,Rural,Advanced,Neutral,Low,Time,Extroverted,Career advancement
learner,Millennials (25-40),Other,African American,Entry-level,Late career,Accelerator,None,Bachelor's degree,Fluent,Basic,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Low,Interest,Extroverted,Career advancement
learner,Baby Boomers (55-75),Female,Other,Mid-level,Early career,Expert,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Basic,Collaborative,Both,Rural,Advanced,Positive,Medium,Accessibility,Extroverted,Skill development
learner,Millennials (25-40),Male,Hispanic/Latino,Mid-level,Early career,Accelerator,None,Bachelor's degree,Fluent,Basic,Reading/Writing,Intermediate,Collaborative,Cooperative,Suburban,Advanced,Positive,High,Resources,Introverted,Skill development
learner,Generation X (40-55),Female,Asian,Mid-level,Early career,Expert,Other,Bachelor's degree,Fluent,Basic,Reading/Writing,None,Competitive,Neither,Suburban,Advanced,Positive,Medium,Interest,Introverted,Skill development
learner,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Expert,None,Master's degree,Fluent,Advanced,Reading/Writing,Basic,Collaborative,Cooperative,Suburban,Advanced,Negative,High,Time,Extroverted,Career advancement
admin,Millennials (25-40),Female,Other,Entry-level,Early career,Builder,None,Doctoral degree,Proficient,Advanced,Reading/Writing,Advanced,Supportive,Cooperative,Urban,Advanced,Positive,Low,Accessibility,Introverted,Skill development
learner,Millennials (25-40),Female,Hispanic/Latino,Entry-level,Mid-career,Builder,None,Bachelor's degree,Fluent,Intermediate,Visual,Intermediate,Supportive,Cooperative,Suburban,Advanced,Positive,High,Interest,Ambivert,Career advancement
learner,Baby Boomers (55-75),Female,African American,Mid-level,Early career,Accelerator,Physical,Bachelor's degree,Fluent,Basic,Kinesthetic,Intermediate,Supportive,Neither,Suburban,Intermediate,Neutral,Medium,Interest,Ambivert,Skill development
learner,Generation X (40-55),Female,Asian,Entry-level,Early career,starter,None,Master's degree,Proficient,Advanced,Visual,Intermediate,Collaborative,Both,Rural,Intermediate,Positive,High,Resources,Introverted,Skill development
learner,Millennials (25-40),Male,Other,Mid-level,Early career,Expert,Mental,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Medium,Resources,Extroverted,Career advancement
learner,Generation X (40-55),Male,Hispanic/Latino,Senior-level,Late career,Accelerator,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,None,Collaborative,Cooperative,Urban,Advanced,Positive,High,Time,Extroverted,Skill development
learner,Generation X (40-55),Male,African American,Senior-level,Early career,Builder,None,Bachelor's degree,Proficient,Intermediate,Reading/Writing,Intermediate,Collaborative,Competitive,Urban,Intermediate,Positive,High,Time,Ambivert,Skill development
admin,Baby Boomers (55-75),Female,Caucasian,Executive,Early career,starter,None,Some college,Fluent,Basic,Reading/Writing,Intermediate,Collaborative,Cooperative,Urban,Intermediate,Negative,High,Time,Ambivert,Career advancement
learner,Generation X (40-55),Female,Caucasian,Entry-level,Mid-career,Builder,None,Master's degree,Fluent,Basic,Visual,Advanced,Competitive,Both,Suburban,Intermediate,Positive,High,Resources,Introverted,Personal interest
learner,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,starter,Other,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Competitive,Both,Suburban,None,Neutral,High,Interest,Ambivert,Personal interest
learner,Millennials (25-40),Male,Other,Senior-level,Late career,starter,None,High school or below,Proficient,Intermediate,Visual,Intermediate,Collaborative,Cooperative,Suburban,Intermediate,Positive,Medium,Accessibility,Introverted,Skill development
learner,Generation X (40-55),Male,Asian,Mid-level,Mid-career,Expert,None,Some college,Proficient,Basic,Reading/Writing,Intermediate,Competitive,Competitive,Suburban,Advanced,Positive,Low,Interest,Ambivert,Requirement
learner,Generation X (40-55),Male,African American,Entry-level,Retirement,Builder,Other,Bachelor's degree,Fluent,Advanced,Kinesthetic,None,Competitive,Cooperative,Rural,Intermediate,Positive,Low,Accessibility,Extroverted,Requirement
learner,Millennials (25-40),Other,Caucasian,Senior-level,Early career,Builder,None,Bachelor's degree,Basic,Advanced,Visual,Intermediate,Collaborative,Cooperative,Rural,Advanced,Neutral,Medium,Interest,Introverted,Requirement
learner,Millennials (25-40),Female,Asian,Entry-level,Mid-career,starter,None,Some college,Proficient,Advanced,Reading/Writing,Intermediate,Collaborative,Cooperative,Suburban,Advanced,Positive,High,Accessibility,Introverted,Skill development
learner,Millennials (25-40),Female,Hispanic/Latino,Entry-level,Mid-career,starter,None,Master's degree,Proficient,Intermediate,Kinesthetic,None,Supportive,Competitive,Urban,Intermediate,Neutral,High,Time,Introverted,Skill development
admin,Generation X (40-55),Male,Asian,Executive,Mid-career,Accelerator,Mental,Bachelor's degree,Proficient,Intermediate,Visual,Intermediate,Collaborative,Competitive,Rural,Advanced,Positive,Low,Time,Ambivert,Skill development
learner,Generation X (40-55),Male,Caucasian,Mid-level,Late career,Builder,None,Some college,Proficient,Advanced,Auditory,Basic,Supportive,Cooperative,Suburban,Advanced,Positive,High,Time,Extroverted,Career advancement
learner,Millennials (25-40),Female,African American,Senior-level,Early career,starter,None,Bachelor's degree,Proficient,None,Reading/Writing,Advanced,Supportive,Competitive,Suburban,Basic,Neutral,Medium,Accessibility,Extroverted,Skill development
admin,Generation X (40-55),Male,Hispanic/Latino,Executive,Early career,starter,None,Doctoral degree,Proficient,Basic,Auditory,Basic,Competitive,Both,Rural,Intermediate,Neutral,High,Resources,Ambivert,Personal interest
learner,Generation X (40-55),Female,Asian,Mid-level,Mid-career,starter,None,Bachelor's degree,Fluent,None,Reading/Writing,Intermediate,Supportive,Both,Rural,Advanced,Neutral,Medium,Accessibility,Ambivert,Personal interest
learner,Baby Boomers (55-75),Female,African American,Executive,Mid-career,starter,None,Some college,Fluent,Advanced,Visual,Intermediate,Supportive,Competitive,Suburban,Basic,Positive,Medium,Interest,Extroverted,Career advancement
learner,Millennials (25-40),Female,African American,Entry-level,Early career,Builder,None,Bachelor's degree,Fluent,Basic,Kinesthetic,Basic,Collaborative,Cooperative,Suburban,Basic,Positive,High,Interest,Introverted,Skill development
learner,Millennials (25-40),Female,African American,Entry-level,Retirement,Builder,None,Some college,Fluent,None,Reading/Writing,None,Competitive,Competitive,Urban,Advanced,Neutral,High,Accessibility,Ambivert,Personal interest
learner,Millennials (25-40),Female,Caucasian,Executive,Early career,Builder,None,Some college,Fluent,None,Visual,Advanced,Supportive,Neither,Rural,Basic,Positive,Medium,Interest,Extroverted,Personal interest
admin,Generation X (40-55),Other,Asian,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Advanced,Independent,Competitive,Suburban,Advanced,Neutral,Low,Accessibility,Introverted,Requirement
learner,Millennials (25-40),Male,African American,Entry-level,Early career,starter,Physical,Bachelor's degree,Basic,Advanced,Kinesthetic,Intermediate,Competitive,Both,Rural,Basic,Neutral,High,Accessibility,Introverted,Personal interest
learner,Generation X (40-55),Female,African American,Entry-level,Mid-career,Builder,None,High school or below,Fluent,Advanced,Auditory,Intermediate,Supportive,Both,Urban,Basic,Positive,Medium,Resources,Ambivert,Personal interest
learner,Generation Z (18-24),Male,Hispanic/Latino,Mid-level,Late career,Builder,None,Bachelor's degree,Proficient,Intermediate,Kinesthetic,Intermediate,Competitive,Cooperative,Rural,Advanced,Positive,Medium,Interest,Ambivert,Career advancement
learner,Millennials (25-40),Female,Caucasian,Entry-level,Late career,Expert,None,Master's degree,Basic,Intermediate,Auditory,Intermediate,Supportive,Both,Urban,Intermediate,Negative,High,Accessibility,Extroverted,Career advancement
admin,Millennials (25-40),Male,Caucasian,Entry-level,Late career,Accelerator,None,Bachelor's degree,Fluent,Intermediate,Visual,Advanced,Competitive,Both,Suburban,Basic,Neutral,High,Time,Ambivert,Skill development
learner,Generation X (40-55),Male,Caucasian,Senior-level,Late career,Expert,Physical,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Medium,Interest,Ambivert,Skill development
admin,Millennials (25-40),Female,African American,Entry-level,Mid-career,starter,Mental,Some college,Proficient,Intermediate,Kinesthetic,Intermediate,Supportive,Cooperative,Urban,Intermediate,Neutral,Medium,Time,Extroverted,Career advancement
learner,Millennials (25-40),Female,Caucasian,Mid-level,Mid-career,Accelerator,None,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Collaborative,Both,Suburban,Advanced,Positive,Low,Accessibility,Extroverted,Personal interest
admin,Millennials (25-40),Female,Caucasian,Senior-level,Late career,starter,Other,Master's degree,Basic,Basic,Reading/Writing,Basic,Independent,Competitive,Rural,None,Positive,Medium,Interest,Introverted,Career advancement
learner,Millennials (25-40),Female,Hispanic/Latino,Entry-level,Mid-career,Accelerator,None,Some college,Fluent,Intermediate,Auditory,Intermediate,Independent,Both,Rural,Intermediate,Positive,Medium,Time,Ambivert,Career advancement
admin,Generation Z (18-24),Female,Caucasian,Entry-level,Early career,Accelerator,Mental,Bachelor's degree,Proficient,Advanced,Visual,Intermediate,Supportive,Neither,Rural,Advanced,Neutral,Low,Time,Extroverted,Skill development
learner,Generation X (40-55),Other,Caucasian,Entry-level,Early career,starter,Mental,Some college,Proficient,Intermediate,Reading/Writing,Advanced,Collaborative,Cooperative,Urban,Intermediate,Positive,High,Time,Introverted,Career advancement
learner,Baby Boomers (55-75),Other,Caucasian,Entry-level,Mid-career,starter,Physical,Master's degree,Fluent,Intermediate,Auditory,None,Collaborative,Competitive,Rural,Intermediate,Positive,Medium,Time,Introverted,Skill development
learner,Generation Z (18-24),Female,Caucasian,Senior-level,Mid-career,starter,None,Bachelor's degree,Fluent,Advanced,Auditory,None,Competitive,Both,Urban,Advanced,Neutral,High,Resources,Extroverted,Career advancement
learner,Generation X (40-55),Female,Caucasian,Mid-level,Early career,Builder,None,Some college,Fluent,Intermediate,Auditory,Advanced,Supportive,Competitive,Suburban,Intermediate,Positive,High,Accessibility,Ambivert,Career advancement
learner,Generation X (40-55),Female,Hispanic/Latino,Entry-level,Late career,starter,None,Bachelor's degree,Basic,Intermediate,Auditory,Intermediate,Collaborative,Both,Urban,Advanced,Positive,Medium,Accessibility,Introverted,Skill development
learner,Generation X (40-55),Female,Asian,Entry-level,Mid-career,Expert,None,Bachelor's degree,Fluent,None,Auditory,Basic,Collaborative,Both,Rural,Basic,Neutral,Medium,Resources,Extroverted,Career advancement
admin,Generation X (40-55),Female,Hispanic/Latino,Entry-level,Early career,Accelerator,None,Some college,Basic,Intermediate,Visual,None,Supportive,Neither,Suburban,Advanced,Positive,High,Interest,Ambivert,Skill development
admin,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Accelerator,None,Some college,Proficient,None,Auditory,Basic,Supportive,Both,Suburban,Intermediate,Positive,High,Time,Ambivert,Personal interest
learner,Baby Boomers (55-75),Female,African American,Mid-level,Early career,Builder,None,High school or below,None,Advanced,Auditory,Intermediate,Independent,Cooperative,Suburban,Intermediate,Positive,Medium,Accessibility,Ambivert,Personal interest
learner,Millennials (25-40),Male,African American,Entry-level,Early career,Expert,None,Master's degree,Proficient,Basic,Kinesthetic,None,Collaborative,Competitive,Urban,Advanced,Positive,High,Interest,Extroverted,Career advancement
admin,Millennials (25-40),Male,Caucasian,Mid-level,Early career,Builder,Mental,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Low,Accessibility,Introverted,Skill development
learner,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,starter,None,Bachelor's degree,None,Intermediate,Reading/Writing,Advanced,Competitive,Both,Urban,Intermediate,Positive,High,Resources,Introverted,Requirement
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,starter,None,Some college,Fluent,Intermediate,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Intermediate,Neutral,High,Resources,Introverted,Career advancement
learner,Baby Boomers (55-75),Male,Caucasian,Entry-level,Mid-career,Accelerator,Other,Master's degree,Fluent,Intermediate,Auditory,Intermediate,Collaborative,Cooperative,Urban,Intermediate,Positive,Medium,Resources,Ambivert,Career advancement
learner,Millennials (25-40),Female,Other,Mid-level,Early career,Builder,None,Some college,Proficient,Advanced,Kinesthetic,Intermediate,Collaborative,Cooperative,Urban,Intermediate,Neutral,Medium,Time,Introverted,Career advancement
learner,Generation X (40-55),Male,Asian,Entry-level,Early career,starter,None,Some college,Proficient,None,Kinesthetic,Intermediate,Collaborative,Cooperative,Suburban,Intermediate,Neutral,High,Resources,Introverted,Career advancement
admin,Generation X (40-55),Male,Caucasian,Mid-level,Early career,Builder,None,Bachelor's degree,Proficient,Intermediate,Kinesthetic,Basic,Competitive,Cooperative,Suburban,Advanced,Neutral,Medium,Resources,Ambivert,Skill development
