ROLE,AGE_TYPE,GENDER_TYPE,RACE_TYPE,JOB_CATEGORY_TYPE,LIFE_STAGE_TYPE,CAREER_STAGE_TYPE,SPECIAL_NEEDS_TYPE,EDUCATIONAL_LEVEL_TYPE,LANGUAGE_ABILITIES_TYPE,LITERACY_NUMERACY_PROFICIENCY_TYPE,LEARNING_PREFERENCES_TYPE,PRIOR_KNOWLEDGE_SKILLS_TYPE,RELATIONSHIP_TO_PEERS_TYPE,TENDENCY_TO_COMPETE_OR_COOPERATE_TYPE,SOCIAL_BACKGROUND_TYPE,COMPUTER_LITERACY_TYPE,ATTITUDE_TOWARDS_LEARNING_TYPE,MOTIVATIONAL_LEVEL_TYPE,BARRIERS_TO_LEARNING_INTERESTS,PERSONALITY_TYPE,REASONS_FOR_ATTENDING_COURSE_TYPE,COURSE_COMPLETION,TIME_TAKEN_TO_COMPLETE,ATTEMPTS_TAKEN,COURSE_FEEDBACK
learner,Baby Boomers (55-75),Other,Caucasian,Mid-level,Early career,Expert,Mental,Master's degree,Basic,None,Visual,Intermediate,Competitive,Both,Urban,Basic,Positive,High,Accessibility,Extroverted,Requirement,70.6,0,0,negative
admin,Generation X (40-55),Female,Caucasian,Mid-level,Late career,Expert,Other,Some college,Fluent,Intermediate,Kinesthetic,Basic,Supportive,Competitive,Rural,Advanced,Negative,High,Resources,Ambivert,Skill development,100.0,7,10,positive
admin,Generation X (40-55),Other,Caucasian,Executive,Late career,Builder,Physical,Some college,Basic,Intermediate,Auditory,Advanced,Supportive,Neither,Urban,Basic,Negative,High,Resources,Introverted,Skill development,28.76,0,0,negative
admin,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Accelerator,None,Some college,None,Advanced,Reading/Writing,Advanced,Collaborative,Neither,Rural,None,Neutral,Low,Time,Ambivert,Personal interest,58.12,0,0,positive
learner,Generation X (40-55),Male,Asian,Executive,Early career,Expert,Mental,Some college,Basic,Basic,Reading/Writing,None,Supportive,Cooperative,Urban,None,Negative,Low,Time,Introverted,Requirement,42.11,0,0,negative
admin,Generation Z (18-24),Female,Other,Senior-level,Mid-career,Accelerator,Physical,Some college,Basic,None,Auditory,None,Supportive,Cooperative,Suburban,Basic,Neutral,Low,Accessibility,Ambivert,Personal interest,29.19,0,0,positive
admin,Baby Boomers (55-75),Other,Caucasian,Executive,Mid-career,Accelerator,Mental,High school or below,Basic,Advanced,Auditory,Advanced,Independent,Neither,Suburban,None,Negative,Medium,Resources,Extroverted,Career advancement,1.59,0,0,negative
admin,Generation Z (18-24),Male,Hispanic/Latino,Entry-level,Mid-career,Builder,Other,High school or below,Proficient,Basic,Reading/Writing,Basic,Collaborative,Both,Urban,Advanced,Positive,High,Time,Extroverted,Requirement,100.0,3,1,positive
learner,Generation X (40-55),Other,Caucasian,Entry-level,Early career,Expert,Physical,Some college,Fluent,None,Kinesthetic,Basic,Collaborative,Competitive,Rural,Advanced,Negative,Low,Time,Ambivert,Skill development,78.56,0,0,negative
admin,Baby Boomers (55-75),Female,Caucasian,Executive,Late career,starter,Mental,Bachelor's degree,Fluent,Basic,Reading/Writing,Basic,Competitive,Competitive,Suburban,Basic,Positive,Medium,Resources,Introverted,Requirement,10.77,0,0,positive
admin,Baby Boomers (55-75),Male,Other,Senior-level,Early career,Accelerator,Physical,High school or below,Fluent,Intermediate,Visual,None,Collaborative,Cooperative,Urban,Advanced,Neutral,Medium,Accessibility,Ambivert,Skill development,100.0,7,1,negative
admin,Generation X (40-55),Female,Hispanic/Latino,Senior-level,Late career,Accelerator,Other,High school or below,Proficient,Advanced,Auditory,Advanced,Collaborative,Both,Urban,Intermediate,Neutral,Medium,Interest,Extroverted,Skill development,57.21,0,0,negative
admin,Generation X (40-55),Male,African American,Mid-level,Early career,Accelerator,Physical,Master's degree,Basic,Intermediate,Visual,Advanced,Collaborative,Neither,Rural,Intermediate,Positive,Medium,Accessibility,Ambivert,Requirement,100.0,4,5,positive
admin,Baby Boomers (55-75),Female,Asian,Entry-level,Retirement,starter,None,Doctoral degree,Proficient,Basic,Auditory,None,Collaborative,Neither,Rural,Intermediate,Negative,Medium,Interest,Introverted,Career advancement,67.06,0,0,negative
learner,Generation X (40-55),Female,Other,Entry-level,Retirement,starter,Physical,Master's degree,Fluent,Basic,Reading/Writing,Intermediate,Competitive,Cooperative,Suburban,Intermediate,Neutral,Medium,Interest,Ambivert,Personal interest,43.06,0,0,positive
admin,Millennials (25-40),Female,Asian,Entry-level,Late career,Expert,Other,High school or below,Proficient,Basic,Auditory,Intermediate,Supportive,Both,Suburban,None,Negative,Medium,Accessibility,Ambivert,Requirement,100.0,6,6,positive
learner,Generation Z (18-24),Male,Other,Executive,Late career,Builder,Mental,Some college,None,Basic,Reading/Writing,None,Independent,Cooperative,Rural,None,Negative,Medium,Interest,Ambivert,Skill development,86.63,0,0,negative
learner,Generation X (40-55),Other,Caucasian,Executive,Mid-career,Expert,Mental,Doctoral degree,Fluent,Intermediate,Reading/Writing,Intermediate,Independent,Neither,Suburban,Intermediate,Negative,Low,Accessibility,Introverted,Career advancement,100.0,6,3,positive
admin,Generation Z (18-24),Other,Other,Executive,Early career,Accelerator,None,Some college,Basic,Intermediate,Visual,Advanced,Supportive,Cooperative,Suburban,Advanced,Neutral,High,Interest,Ambivert,Skill development,30.3,0,0,negative
learner,Baby Boomers (55-75),Female,Caucasian,Executive,Late career,Builder,Other,Master's degree,Proficient,Basic,Visual,Basic,Independent,Neither,Rural,Advanced,Positive,Low,Accessibility,Introverted,Skill development,28.79,0,0,positive
learner,Baby Boomers (55-75),Female,African American,Mid-level,Mid-career,Accelerator,Other,Master's degree,Proficient,Intermediate,Reading/Writing,None,Collaborative,Neither,Rural,None,Neutral,High,Interest,Extroverted,Personal interest,100.0,3,8,positive
learner,Baby Boomers (55-75),Male,Other,Executive,Mid-career,starter,Physical,Doctoral degree,Fluent,Advanced,Auditory,Intermediate,Collaborative,Both,Urban,Basic,Positive,Low,Resources,Extroverted,Personal interest,77.42,0,0,positive
learner,Generation Z (18-24),Other,African American,Executive,Mid-career,Accelerator,Physical,Doctoral degree,Fluent,None,Reading/Writing,None,Collaborative,Neither,Suburban,Intermediate,Neutral,Medium,Accessibility,Ambivert,Skill development,39.85,0,0,positive
admin,Generation X (40-55),Female,Asian,Executive,Mid-career,Builder,Physical,Doctoral degree,None,Advanced,Visual,Basic,Supportive,Both,Suburban,None,Positive,Low,Resources,Introverted,Requirement,100.0,1,7,negative
learner,Generation X (40-55),Male,African American,Executive,Mid-career,Accelerator,None,High school or below,Basic,None,Reading/Writing,Basic,Supportive,Both,Urban,Basic,Negative,Low,Accessibility,Introverted,Personal interest,89.58,0,0,negative
learner,Baby Boomers (55-75),Female,African American,Entry-level,Early career,starter,Mental,High school or below,None,Intermediate,Auditory,None,Independent,Competitive,Urban,Advanced,Neutral,Medium,Time,Ambivert,Requirement,72.84,0,0,positive
admin,Baby Boomers (55-75),Male,Caucasian,Mid-level,Retirement,Expert,Mental,High school or below,Fluent,Intermediate,Reading/Writing,Intermediate,Competitive,Both,Rural,None,Positive,Medium,Resources,Introverted,Requirement,100.0,1,8,positive
admin,Generation X (40-55),Male,Other,Executive,Mid-career,Accelerator,None,Master's degree,Basic,None,Reading/Writing,Intermediate,Independent,Competitive,Rural,Advanced,Negative,Medium,Interest,Extroverted,Skill development,100.0,3,6,negative
admin,Generation Z (18-24),Female,Other,Executive,Late career,Builder,Other,Bachelor's degree,Proficient,Advanced,Reading/Writing,Intermediate,Independent,Neither,Suburban,None,Positive,Medium,Resources,Introverted,Skill development,25.83,0,0,positive
learner,Generation Z (18-24),Male,African American,Mid-level,Retirement,Accelerator,Physical,Bachelor's degree,Fluent,Intermediate,Visual,None,Competitive,Both,Suburban,Intermediate,Neutral,High,Accessibility,Extroverted,Requirement,100.0,3,3,negative
admin,Baby Boomers (55-75),Female,Caucasian,Executive,Mid-career,Builder,Mental,High school or below,Proficient,Advanced,Reading/Writing,Basic,Supportive,Neither,Suburban,Advanced,Neutral,Medium,Time,Introverted,Requirement,16.85,0,0,negative
admin,Millennials (25-40),Female,Asian,Mid-level,Retirement,Builder,None,High school or below,None,None,Kinesthetic,None,Collaborative,Cooperative,Rural,Basic,Positive,Low,Time,Ambivert,Career advancement,8.35,0,0,positive
admin,Baby Boomers (55-75),Male,Hispanic/Latino,Executive,Early career,starter,Other,Master's degree,None,None,Visual,Intermediate,Competitive,Cooperative,Rural,Intermediate,Neutral,Medium,Accessibility,Ambivert,Personal interest,40.11,0,0,positive
learner,Generation Z (18-24),Male,Asian,Senior-level,Early career,Builder,None,Doctoral degree,None,Intermediate,Kinesthetic,Intermediate,Competitive,Competitive,Suburban,Intermediate,Positive,Medium,Interest,Extroverted,Requirement,45.8,0,0,positive
learner,Generation Z (18-24),Female,Hispanic/Latino,Executive,Retirement,Accelerator,Other,High school or below,Basic,Intermediate,Kinesthetic,Basic,Supportive,Competitive,Suburban,Intermediate,Positive,Low,Time,Introverted,Requirement,100.0,7,4,negative
admin,Generation X (40-55),Female,Caucasian,Mid-level,Retirement,Builder,Physical,Doctoral degree,Proficient,Advanced,Visual,Intermediate,Supportive,Competitive,Urban,Intermediate,Positive,Low,Interest,Introverted,Career advancement,24.98,0,0,negative
learner,Millennials (25-40),Female,Caucasian,Mid-level,Late career,Accelerator,None,Doctoral degree,None,Intermediate,Visual,Basic,Collaborative,Both,Suburban,Advanced,Neutral,High,Time,Introverted,Skill development,100.0,4,9,positive
admin,Generation X (40-55),Other,Caucasian,Entry-level,Late career,Expert,Other,Some college,Basic,Advanced,Reading/Writing,Basic,Competitive,Cooperative,Urban,Basic,Neutral,High,Resources,Introverted,Personal interest,50.62,0,0,positive
learner,Millennials (25-40),Female,African American,Mid-level,Retirement,Builder,Physical,Master's degree,Basic,Advanced,Reading/Writing,Intermediate,Independent,Cooperative,Urban,Advanced,Positive,High,Resources,Introverted,Requirement,83.38,0,0,positive
learner,Baby Boomers (55-75),Other,African American,Senior-level,Mid-career,Accelerator,Other,Master's degree,Fluent,None,Kinesthetic,None,Independent,Neither,Suburban,Advanced,Neutral,High,Resources,Introverted,Career advancement,9.01,0,0,positive
admin,Generation Z (18-24),Female,Other,Executive,Retirement,Builder,Mental,Doctoral degree,None,Basic,Auditory,Advanced,Supportive,Neither,Urban,Basic,Positive,High,Resources,Introverted,Career advancement,91.86,0,0,positive
admin,Generation X (40-55),Female,Asian,Mid-level,Mid-career,Accelerator,Mental,High school or below,Fluent,None,Reading/Writing,Advanced,Competitive,Both,Urban,Basic,Negative,Medium,Interest,Ambivert,Requirement,47.6,0,0,positive
learner,Millennials (25-40),Male,Other,Senior-level,Mid-career,Expert,None,Some college,Proficient,None,Kinesthetic,Advanced,Independent,Cooperative,Suburban,Advanced,Neutral,Low,Resources,Introverted,Requirement,100.0,6,1,negative
learner,Generation Z (18-24),Other,Hispanic/Latino,Entry-level,Mid-career,starter,Physical,Doctoral degree,None,None,Visual,Basic,Independent,Both,Urban,None,Positive,High,Interest,Extroverted,Career advancement,40.67,0,0,positive
learner,Baby Boomers (55-75),Female,Other,Mid-level,Mid-career,Builder,Mental,Bachelor's degree,None,Advanced,Kinesthetic,Advanced,Competitive,Cooperative,Suburban,Advanced,Positive,High,Time,Introverted,Personal interest,84.72,0,0,negative
admin,Baby Boomers (55-75),Male,African American,Executive,Early career,starter,Mental,High school or below,Basic,Advanced,Kinesthetic,None,Competitive,Both,Rural,None,Positive,High,Interest,Extroverted,Personal interest,17.71,0,0,positive
learner,Millennials (25-40),Female,Caucasian,Entry-level,Retirement,starter,Other,Some college,Proficient,Advanced,Auditory,Basic,Competitive,Cooperative,Suburban,Advanced,Negative,Low,Interest,Extroverted,Career advancement,100.0,7,9,negative
learner,Baby Boomers (55-75),Other,Asian,Senior-level,Early career,Expert,Physical,Master's degree,Fluent,Advanced,Reading/Writing,Advanced,Competitive,Both,Rural,Advanced,Positive,High,Accessibility,Introverted,Personal interest,100.0,6,7,positive
learner,Baby Boomers (55-75),Male,African American,Senior-level,Late career,Builder,Physical,Bachelor's degree,Proficient,Intermediate,Auditory,None,Collaborative,Competitive,Urban,Intermediate,Negative,Medium,Resources,Ambivert,Skill development,83.76,0,0,positive
learner,Millennials (25-40),Other,Asian,Senior-level,Mid-career,starter,Other,Master's degree,Fluent,Advanced,Visual,Advanced,Collaborative,Both,Suburban,Basic,Neutral,High,Resources,Ambivert,Skill development,91.3,0,0,positive
learner,Generation Z (18-24),Male,Hispanic/Latino,Entry-level,Early career,Expert,Mental,Doctoral degree,Proficient,Advanced,Kinesthetic,None,Independent,Competitive,Urban,Basic,Negative,High,Time,Ambivert,Skill development,71.52,0,0,positive
admin,Millennials (25-40),Male,Other,Mid-level,Early career,starter,Other,High school or below,Basic,None,Auditory,None,Collaborative,Both,Rural,Advanced,Positive,High,Accessibility,Introverted,Career advancement,53.4,0,0,negative
admin,Millennials (25-40),Male,Hispanic/Latino,Mid-level,Mid-career,Accelerator,Other,Bachelor's degree,None,Intermediate,Reading/Writing,None,Independent,Cooperative,Urban,Basic,Positive,High,Accessibility,Ambivert,Skill development,88.36,0,0,negative
learner,Millennials (25-40),Male,Other,Entry-level,Late career,Accelerator,Other,Bachelor's degree,Proficient,Intermediate,Visual,Intermediate,Collaborative,Cooperative,Suburban,Advanced,Negative,Medium,Time,Extroverted,Personal interest,95.34,0,0,positive
learner,Generation Z (18-24),Male,Asian,Executive,Late career,Expert,Physical,Bachelor's degree,Basic,Basic,Kinesthetic,Intermediate,Supportive,Both,Rural,Advanced,Positive,High,Time,Extroverted,Career advancement,63.76,0,0,positive
admin,Baby Boomers (55-75),Male,Hispanic/Latino,Senior-level,Early career,Expert,Other,Some college,Proficient,Advanced,Reading/Writing,Intermediate,Independent,Both,Suburban,Basic,Negative,Medium,Interest,Extroverted,Personal interest,100.0,3,1,positive
admin,Generation X (40-55),Other,Hispanic/Latino,Entry-level,Early career,starter,Physical,Master's degree,Proficient,Intermediate,Kinesthetic,None,Collaborative,Neither,Suburban,Intermediate,Negative,High,Resources,Ambivert,Requirement,74.81,0,0,positive
learner,Baby Boomers (55-75),Female,African American,Executive,Mid-career,Expert,Physical,High school or below,Basic,Basic,Visual,Intermediate,Collaborative,Both,Urban,Intermediate,Negative,High,Accessibility,Introverted,Skill development,57.8,0,0,positive
learner,Millennials (25-40),Female,African American,Senior-level,Retirement,Expert,Other,High school or below,Fluent,Intermediate,Visual,Intermediate,Collaborative,Cooperative,Rural,Intermediate,Positive,Low,Accessibility,Ambivert,Requirement,88.62,0,0,negative
learner,Baby Boomers (55-75),Female,Other,Entry-level,Retirement,Builder,Other,Some college,None,Advanced,Reading/Writing,None,Collaborative,Neither,Rural,Advanced,Neutral,High,Time,Introverted,Skill development,100.0,5,1,positive
admin,Baby Boomers (55-75),Female,Caucasian,Executive,Mid-career,starter,Mental,Some college,Fluent,Intermediate,Reading/Writing,Intermediate,Independent,Neither,Suburban,Advanced,Neutral,Low,Resources,Introverted,Requirement,100.0,6,8,positive
learner,Generation X (40-55),Other,Other,Mid-level,Mid-career,starter,None,Master's degree,Fluent,Advanced,Visual,Basic,Supportive,Competitive,Rural,Advanced,Neutral,Medium,Resources,Ambivert,Personal interest,27.44,0,0,negative
learner,Generation Z (18-24),Female,African American,Mid-level,Mid-career,starter,Mental,Master's degree,None,Basic,Kinesthetic,None,Independent,Competitive,Urban,Basic,Positive,Low,Time,Extroverted,Skill development,20.85,0,0,negative
admin,Baby Boomers (55-75),Female,Asian,Mid-level,Early career,Expert,Mental,Doctoral degree,None,Basic,Visual,Intermediate,Competitive,Neither,Urban,None,Positive,Medium,Accessibility,Extroverted,Skill development,20.07,0,0,negative
learner,Millennials (25-40),Male,Asian,Entry-level,Mid-career,Builder,None,Doctoral degree,None,Intermediate,Visual,Advanced,Collaborative,Competitive,Rural,Intermediate,Neutral,Medium,Resources,Introverted,Requirement,100.0,2,5,negative
learner,Generation Z (18-24),Female,Hispanic/Latino,Entry-level,Mid-career,Expert,Mental,Some college,Proficient,Basic,Kinesthetic,Advanced,Supportive,Both,Suburban,Advanced,Negative,High,Interest,Introverted,Skill development,100.0,4,9,negative
admin,Generation Z (18-24),Female,Asian,Entry-level,Late career,Builder,Physical,Some college,Basic,None,Auditory,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Low,Interest,Extroverted,Skill development,79.04,0,0,positive
learner,Generation X (40-55),Other,African American,Mid-level,Early career,Builder,Physical,Master's degree,Proficient,Advanced,Auditory,Intermediate,Collaborative,Cooperative,Rural,Advanced,Neutral,Low,Resources,Extroverted,Personal interest,100.0,7,9,negative
learner,Millennials (25-40),Male,Asian,Mid-level,Mid-career,Accelerator,Mental,Doctoral degree,Fluent,None,Reading/Writing,Advanced,Supportive,Neither,Urban,Basic,Neutral,Low,Accessibility,Introverted,Skill development,15.86,0,0,positive
learner,Generation X (40-55),Male,Caucasian,Entry-level,Mid-career,Accelerator,Physical,Bachelor's degree,None,Advanced,Reading/Writing,Basic,Independent,Competitive,Rural,None,Negative,High,Accessibility,Extroverted,Skill development,100.0,6,4,positive
admin,Generation Z (18-24),Male,African American,Entry-level,Retirement,Expert,Mental,High school or below,Proficient,None,Kinesthetic,Intermediate,Independent,Cooperative,Suburban,None,Negative,Low,Interest,Extroverted,Requirement,85.97,0,0,positive
learner,Baby Boomers (55-75),Female,Other,Entry-level,Early career,starter,None,Some college,None,Intermediate,Reading/Writing,Basic,Supportive,Both,Suburban,Advanced,Neutral,Low,Time,Introverted,Personal interest,34.48,0,0,positive
learner,Generation Z (18-24),Female,Asian,Executive,Retirement,Builder,Physical,Some college,Basic,Intermediate,Visual,None,Collaborative,Competitive,Urban,Basic,Positive,High,Time,Extroverted,Career advancement,81.17,0,0,negative
admin,Millennials (25-40),Male,Caucasian,Mid-level,Mid-career,Accelerator,Other,Doctoral degree,Fluent,Advanced,Visual,None,Supportive,Both,Suburban,Basic,Positive,High,Interest,Ambivert,Career advancement,100.0,7,6,positive
learner,Baby Boomers (55-75),Other,Asian,Executive,Early career,starter,Mental,Doctoral degree,Proficient,Basic,Kinesthetic,None,Independent,Both,Urban,Advanced,Negative,High,Resources,Ambivert,Requirement,21.26,0,0,positive
learner,Baby Boomers (55-75),Other,Hispanic/Latino,Mid-level,Retirement,starter,Physical,Doctoral degree,Proficient,Basic,Visual,Advanced,Competitive,Both,Rural,None,Positive,Medium,Resources,Introverted,Personal interest,32.45,0,0,negative
admin,Generation X (40-55),Male,Asian,Senior-level,Retirement,Accelerator,Other,Some college,Fluent,Intermediate,Visual,Advanced,Collaborative,Cooperative,Rural,Advanced,Positive,Medium,Resources,Introverted,Career advancement,100.0,6,10,negative
learner,Generation X (40-55),Female,Asian,Mid-level,Retirement,Accelerator,Physical,Doctoral degree,None,Intermediate,Reading/Writing,None,Competitive,Competitive,Rural,None,Positive,High,Accessibility,Extroverted,Requirement,47.66,0,0,positive
admin,Generation Z (18-24),Other,Caucasian,Senior-level,Retirement,Accelerator,Mental,Master's degree,None,None,Visual,Advanced,Competitive,Competitive,Urban,Basic,Positive,Medium,Time,Extroverted,Career advancement,2.44,0,0,negative
admin,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Builder,Mental,Bachelor's degree,Basic,None,Kinesthetic,Intermediate,Collaborative,Cooperative,Rural,None,Positive,Medium,Accessibility,Extroverted,Requirement,46.88,0,0,positive
learner,Baby Boomers (55-75),Other,Asian,Executive,Early career,Accelerator,Mental,Some college,None,Advanced,Reading/Writing,Intermediate,Supportive,Competitive,Urban,Basic,Positive,Medium,Time,Introverted,Requirement,85.22,0,0,positive
admin,Baby Boomers (55-75),Male,Caucasian,Entry-level,Early career,Accelerator,None,Some college,Fluent,Intermediate,Kinesthetic,Basic,Collaborative,Both,Rural,Basic,Neutral,Low,Resources,Extroverted,Requirement,48.23,0,0,positive
learner,Baby Boomers (55-75),Female,Other,Senior-level,Early career,starter,Mental,Doctoral degree,None,None,Reading/Writing,Advanced,Independent,Cooperative,Urban,Basic,Positive,Medium,Resources,Ambivert,Requirement,84.41,0,0,negative
admin,Generation X (40-55),Male,Other,Mid-level,Mid-career,starter,Mental,Some college,Basic,Advanced,Kinesthetic,Advanced,Supportive,Both,Suburban,None,Negative,High,Time,Ambivert,Personal interest,100.0,2,4,positive
admin,Generation Z (18-24),Other,Asian,Senior-level,Late career,Builder,None,Doctoral degree,None,None,Visual,Basic,Independent,Competitive,Suburban,Basic,Neutral,High,Resources,Introverted,Personal interest,100.0,6,2,negative
admin,Generation X (40-55),Male,Hispanic/Latino,Entry-level,Early career,starter,None,High school or below,None,Basic,Reading/Writing,Intermediate,Competitive,Cooperative,Rural,None,Negative,Low,Resources,Introverted,Requirement,100.0,6,9,negative
learner,Millennials (25-40),Other,Other,Senior-level,Early career,starter,Physical,Master's degree,Basic,Advanced,Reading/Writing,Intermediate,Collaborative,Both,Urban,None,Positive,High,Time,Introverted,Personal interest,50.32,0,0,negative
learner,Generation X (40-55),Female,African American,Senior-level,Mid-career,Builder,Other,Bachelor's degree,Proficient,Basic,Kinesthetic,Intermediate,Independent,Competitive,Rural,None,Negative,Low,Accessibility,Ambivert,Skill development,84.25,0,0,positive
admin,Generation X (40-55),Male,Other,Entry-level,Retirement,Builder,Mental,High school or below,None,Basic,Auditory,Advanced,Supportive,Cooperative,Suburban,None,Positive,High,Accessibility,Introverted,Skill development,60.27,0,0,negative
learner,Millennials (25-40),Male,Other,Mid-level,Retirement,starter,Mental,Master's degree,Proficient,Advanced,Kinesthetic,Advanced,Independent,Cooperative,Urban,Advanced,Negative,High,Accessibility,Ambivert,Requirement,22.72,0,0,negative
admin,Generation Z (18-24),Other,Caucasian,Senior-level,Mid-career,starter,Physical,Master's degree,None,Intermediate,Reading/Writing,None,Independent,Competitive,Urban,Basic,Negative,Low,Accessibility,Introverted,Requirement,100.0,6,3,negative
learner,Millennials (25-40),Female,Other,Senior-level,Retirement,starter,Physical,Some college,None,Basic,Kinesthetic,Advanced,Supportive,Competitive,Rural,Basic,Neutral,Low,Resources,Extroverted,Requirement,100.0,2,7,negative
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Expert,None,Master's degree,Basic,Intermediate,Reading/Writing,Basic,Supportive,Cooperative,Urban,Advanced,Neutral,Low,Time,Ambivert,Career advancement,32.81,0,0,negative
